timestamp,Scott,Lester,Hiddleston,Hawke,Glover,Essiedu,Cumberbatch,Branagh
1,-61.44023032,-67.447129,-25.57784368,-34.55299086,-29.38750548,-69.44173569,-38.87679388,-81.33169537
2,-45.42014174,-42.85939245,-25.57784368,-33.1158505,-19.07570324,-45.59032455,-29.79055058,-62.92502676
3,-54.46418187,-39.59014447,-64.26876061,-35.5682249,-25.23867276,-42.45678668,-31.34033184,-68.78346318
4,-54.35391816,-38.27626495,-33.19999031,-39.5606469,-18.50604819,-38.10843458,-33.32870618,-68.86876818
5,-53.69861936,-35.09798467,-54.28908192,-40.42968888,-19.41350683,-46.76632331,-36.92009682,-70.20374046
6,-54.68358345,-38.49834171,-76.26238361,-43.63359952,-22.78421993,-47.75917758,-40.95137245,-66.90199737
7,-50.55734224,-36.37355792,-77.28007497,-44.39372912,-19.99998124,-40.87613461,-44.42650908,-68.86191082
8,-46.15761979,-41.87794028,-78.65638679,-37.68817417,-17.51236256,-40.92524862,-48.89078785,-68.38006695
9,-49.61213061,-45.99751505,-37.56592703,-36.17138698,-20.15013952,-43.29740334,-34.52624697,-71.39840147
10,-54.71932195,-41.45150108,-50.81639021,-35.70344051,-18.20368693,-46.09349405,-50.58385766,-68.16761568
11,-53.98300637,-41.72915311,-74.86161536,-34.6493635,-17.78455461,-43.70828258,-58.37120447,-70.96109195
12,-54.24057413,-44.13698872,-26.8206855,-35.75876879,-19.80447274,-40.32823859,-58.75973685,-66.04597354
13,-47.81410608,-45.61764626,-77.57098589,-36.97016234,-19.81020221,-42.18216082,-54.24270995,-76.34327524
14,-52.91759374,-33.45292829,-78.44886585,-38.12865576,-19.38384761,-42.38037182,-41.59849132,-76.542244
15,-54.77373705,-38.94429282,-70.457044,-36.92496936,-17.56152948,-44.42105377,-58.57193695,-77.86489169
16,-54.40460671,-38.20590466,-15.87195166,-37.9621829,-17.54371886,-42.02238234,-59.24386305,-77.65504937
17,-43.69424613,-38.57256387,-38.66105287,-41.47473233,-24.01795568,-32.50675568,-59.49784747,-78.27539742
18,-35.57740974,-41.83958361,-63.73902231,-35.54222845,-22.14256893,-36.15484308,-36.01802429,-78.90008155
19,-44.45912462,-46.79266556,-17.70515932,-35.65718639,-17.99591821,-35.50677495,-32.73656621,-68.16442272
20,-54.79947124,-45.08536253,-22.08485626,-44.25764814,-26.41067944,-32.08963003,-35.16385887,-70.87328276
21,-42.07426218,-43.87270011,-21.76934228,-39.8783535,-17.16463388,-35.74446745,-33.9721565,-76.74009142
22,-37.99876385,-38.19074987,-34.43279532,-42.712494,-19.26739924,-42.82862961,-39.08432364,-76.26274792
23,-44.95320334,-37.31603592,-75.96257413,-44.01390924,-18.29514256,-46.78946669,-40.1058215,-75.43251034
24,-40.21584482,-41.78088911,-69.06569924,-41.30063143,-22.77408793,-50.72383874,-44.69876503,-58.584246
25,-52.63870563,-44.72176729,-20.83729705,-47.53815059,-18.53868924,-46.13981345,-32.60452118,-56.01771176
26,-54.45680123,-51.81528446,-20.42217358,-39.68837783,-20.36470395,-41.92448013,-34.25666749,-75.82347421
27,-55.14273411,-47.09637282,-21.36055763,-39.74258262,-18.37834364,-36.48760195,-35.02655513,-48.272913
28,-53.71674261,-46.73931495,-31.59192949,-38.6541731,-19.58712081,-38.45861621,-55.78914161,-55.15088203
29,-42.0064009,-44.12624926,-54.12221697,-35.91660726,-19.49900137,-36.60758811,-44.41185318,-76.55835792
30,-43.89407439,-45.642323,-57.63954774,-34.98760152,-18.46794671,-45.73807503,-29.61410995,-77.07486679
31,-43.10833818,-49.05006187,-77.05690366,-37.11119241,-20.66147176,-50.08519316,-44.61840655,-51.11477718
32,-38.88304511,-41.69230055,-67.54315113,-40.4254134,-22.03005702,-45.82889095,-58.98472634,-70.78284326
33,-53.73968223,-47.153231,-54.62580782,-38.94962438,-16.18922005,-51.68276203,-59.35866277,-77.08012803
34,-46.52141368,-45.88248424,-53.4973175,-48.25067444,-23.53340214,-52.83358037,-54.74004389,-66.49276342
35,-44.91024276,-47.64757955,-70.47215579,-43.18377114,-21.64733305,-48.55836924,-46.22966692,-41.74893305
36,-40.87583466,-41.60823208,-47.32084333,-36.46297786,-21.64885133,-50.71955497,-55.83129439,-42.95415779
37,-53.85120136,-46.32429326,-74.03495982,-39.07230327,-20.39894262,-44.32573851,-59.04514715,-46.31691008
38,-55.27515008,-41.50970574,-78.50876853,-46.58596079,-18.24286359,-53.81040332,-50.11569289,-41.36226632
39,-46.22494374,-42.37380453,-37.97719746,-47.15485833,-19.992188,-50.13210263,-55.65366,-48.45165689
40,-54.61836408,-38.54178421,-20.15996334,-42.66604773,-16.36052843,-50.32194167,-54.23467964,-54.32309518
41,-55.06923855,-37.82585526,-23.57207095,-47.29171098,-23.26374051,-47.4874415,-60.10541003,-70.41687932
42,-53.03166597,-40.46241318,-64.96343947,-46.35774524,-23.01971448,-49.12728476,-60.48095876,-47.51927387
43,-50.06651768,-36.12134089,-40.79925731,-39.76973361,-20.5630215,-46.31045397,-51.68634982,-47.10696118
44,-54.2024471,-38.52311803,-19.10576108,-41.56153302,-17.34081922,-43.74080564,-39.13470969,-46.49182482
45,-54.78991479,-37.52525047,-28.7915805,-35.56783002,-19.40370779,-48.14720984,-38.93025142,-46.48597911
46,-54.53057542,-37.68609026,-24.97902641,-41.88584117,-18.23493538,-48.75536242,-43.80154197,-46.41972892
47,-51.41249144,-38.151991,-73.48309316,-41.89631493,-19.22837527,-39.02975067,-37.24794618,-50.88841341
48,-51.45425076,-38.5623065,-64.87441132,-40.87197195,-21.28158576,-36.21213582,-42.64263718,-59.08871574
49,-54.67399703,-40.89648889,-17.41453937,-41.43898027,-20.39196871,-40.27022303,-40.63431416,-58.16626147
50,-55.53275645,-40.77850537,-25.03318462,-36.77289169,-16.32670793,-44.19321216,-53.92523442,-59.23595966
51,-45.80467982,-37.12096251,-71.935635,-43.46437914,-20.22417217,-31.51133754,-57.76948836,-64.46697841
52,-51.30744103,-36.58089384,-40.72834792,-37.86187095,-17.25237969,-33.90502853,-57.22659811,-48.29463084
53,-45.03850976,-38.51772418,-77.02524644,-40.72402814,-20.71990237,-35.37368584,-52.34414739,-61.48388413
54,-54.76188133,-41.9249861,-47.37567658,-37.48239052,-20.53039812,-35.82901874,-54.86779464,-54.29755108
55,-47.10016476,-42.20808321,-76.81367416,-39.30778768,-17.39998231,-42.41086067,-33.08743055,-40.17433329
56,-41.314003,-38.49241582,-76.24499895,-40.84981071,-18.04072371,-47.08412939,-33.25302521,-49.65183
57,-53.16074361,-39.14437945,-23.90892774,-40.14305469,-17.93175502,-51.01859692,-54.32111182,-41.6620765
58,-39.16494241,-42.6885849,-26.33892926,-40.51502259,-21.5728146,-51.78255949,-58.82951049,-47.50868664
59,-47.24576176,-42.32471734,-34.72210424,-46.71835548,-17.36888612,-49.12888576,-52.46521124,-45.09950213
60,-55.22723787,-39.34042563,-74.71999369,-39.14191898,-17.0246999,-51.76000716,-42.44550745,-55.10201768
61,-42.72963285,-40.89986236,-49.88373792,-44.11909256,-16.9084565,-48.69203305,-54.40047908,-47.97550915
62,-38.40850495,-41.78724629,-21.07630845,-48.03815645,-19.86845946,-49.56379087,-32.37578845,-44.09737105
63,-43.17415661,-36.53408826,-19.27985561,-38.43388548,-18.09236383,-49.73100803,-51.624711,-46.8210185
64,-46.10098784,-33.84660308,-21.39630762,-38.61074544,-18.27523326,-49.80006653,-33.68814929,-64.36364558
65,-45.96470121,-34.18532787,-24.07988287,-47.5665731,-23.73813966,-49.51492208,-31.86520072,-73.44004718
66,-54.96328242,-41.85557529,-25.62210892,-48.81585755,-17.59046221,-51.16849779,-32.27192161,-50.71385679
67,-54.03169571,-42.94203168,-32.02905011,-41.661132,-16.22511474,-48.82792463,-49.53949671,-69.20127445
68,-54.71831263,-43.24777842,-76.73094346,-39.16159052,-19.87878383,-42.63451476,-60.6595675,-53.09325097
69,-43.71209756,-44.02450079,-75.84951179,-38.38931367,-21.49953936,-52.18950751,-34.71637713,-63.42198672
70,-41.4510735,-47.19253879,-21.29564713,-46.93340966,-16.97927429,-47.98814247,-32.53415589,-70.24730003
71,-42.24862379,-47.22038518,-53.0445181,-42.87005757,-18.9585031,-44.91843566,-32.56103334,-51.24430066
72,-53.56252564,-42.00919436,-36.23147597,-36.71302188,-17.92793145,-41.63536564,-37.21695356,-57.49591528
73,-55.39861005,-46.27236366,-17.04083895,-48.72626637,-21.56211093,-47.87953774,-34.89190568,-63.91507245
74,-54.76309021,-39.46826937,-17.30383963,-40.66157574,-18.1551652,-50.74792492,-35.40053892,-44.78834995
75,-49.98626716,-39.29433253,-52.72084326,-37.75735364,-20.55057124,-49.25058653,-42.04184042,-52.84499124
76,-55.4386499,-46.33102736,-76.99256116,-42.89589898,-17.81068762,-49.70091503,-47.16516287,-50.43544041
77,-53.39243413,-38.26659742,-79.2297,-39.51639545,-19.31202276,-49.98444026,-59.06625155,-71.48702479
78,-54.62092168,-37.14591453,-27.77344774,-40.73399136,-16.89398324,-46.32501947,-56.06027676,-52.93958724
79,-51.8282579,-37.04750792,-24.65176247,-46.24112251,-20.36769521,-34.95225082,-57.37591459,-46.44559851
80,-52.83536524,-37.86463371,-20.88346124,-38.82330193,-18.27635293,-42.42305532,-60.17067124,-55.17485858
81,-53.45890689,-38.94382734,-46.16886005,-39.24493331,-17.65315171,-50.2663325,-59.48999821,-42.03879045
82,-54.48709805,-40.25425468,-76.44895751,-41.67601885,-22.38460436,-33.91109624,-36.0829335,-38.5926125
83,-50.81444279,-40.17658036,-22.66736958,-41.81421274,-16.13819902,-30.84986195,-55.8808079,-41.93813597
84,-50.82749405,-34.27598,-56.30658361,-45.1049694,-16.77523221,-33.59022739,-32.68715747,-37.96846392
85,-55.01368366,-40.41628326,-47.37300497,-44.20582729,-20.16303571,-30.98166626,-33.45005103,-39.19076342
86,-46.37839013,-35.66461141,-21.14801947,-41.45875512,-20.53387122,-33.13535168,-32.45793179,-36.26245251
87,-48.30074832,-37.72758121,-21.84471297,-38.48987948,-18.320059,-36.73767421,-36.50521687,-39.42920053
88,-50.96420129,-36.58788097,-38.23283408,-38.88820907,-19.23259919,-50.26346555,-53.00664939,-48.25942897
89,-52.56714774,-39.01541913,-23.45204259,-41.12293529,-16.86803029,-41.11248676,-57.23175574,-39.74422471
90,-54.36506469,-37.99727703,-20.87303029,-36.33034519,-17.80737652,-36.83229562,-58.93852823,-40.47375123
91,-54.66361747,-30.26536121,-33.33782989,-44.87829915,-18.47289955,-44.80514284,-42.07957834,-38.5938315
92,-54.06185558,-32.10559963,-22.67401518,-42.95506538,-24.97405388,-33.86453479,-39.06002487,-36.58747397
93,-54.68119149,-37.78944367,-26.72595253,-35.12990674,-21.12365319,-30.34784379,-35.39133662,-47.81638249
94,-54.73677455,-37.59782171,-27.04522689,-41.78655439,-20.25200405,-40.07710862,-40.01628929,-42.74383161
95,-48.27721168,-36.84064797,-22.15585187,-46.14087745,-16.79500712,-48.65511524,-54.34983342,-37.70798916
96,-47.60189061,-33.83287126,-20.09504936,-45.18545214,-25.40896964,-43.23188563,-39.12629458,-40.59412687
97,-55.22866221,-37.87817482,-55.93084837,-36.12630324,-18.83634838,-31.36102133,-38.35950313,-36.66492856
98,-54.68104879,-32.42559547,-75.55311532,-37.14734598,-16.8413361,-38.50464921,-41.66226497,-43.00355534
99,-53.94460166,-34.77041189,-31.26798113,-35.93492567,-21.22534576,-43.32952887,-32.53822484,-40.03318668
100,-43.74700563,-33.03352368,-25.67597838,-42.04413105,-18.21750652,-45.71928695,-37.60631074,-38.1428555
101,-44.80185938,-33.81427964,-25.42178224,-46.27924202,-17.0983228,-50.31800485,-37.85686587,-38.07883054
102,-48.40712337,-39.80764045,-42.33976939,-47.60426136,-17.79060567,-37.235614,-35.50005311,-36.11145534
103,-53.88434411,-32.10490637,-58.75016038,-46.23982273,-25.28237633,-51.18489903,-29.92591174,-37.80164839
104,-41.17159782,-33.48374254,-77.21771021,-45.6600111,-17.70063798,-37.23422851,-31.53936387,-38.23014392
105,-39.41955145,-34.98256563,-70.47360403,-44.56849605,-18.43711486,-38.7912395,-33.76193463,-37.31960613
106,-44.51986982,-32.75554674,-19.92564779,-39.5964258,-18.65982812,-36.60609005,-31.772983,-35.45166682
107,-49.09361266,-35.3433435,-24.68503654,-39.11390795,-19.03215383,-35.08782084,-33.35811121,-37.72573108
108,-41.43933449,-35.51464838,-52.16478661,-37.13574369,-17.28505069,-35.01016546,-36.00419715,-35.71543131
109,-47.39991292,-37.76862847,-39.77687282,-43.8610881,-21.8530924,-35.67350734,-30.66652534,-36.28521182
110,-45.46608605,-43.86533374,-26.9533569,-52.78037362,-23.5693081,-36.47079158,-32.58596789,-36.41123674
111,-54.95331069,-40.57721462,-23.72519308,-45.43816271,-31.86566448,-34.96954441,-33.69037964,-34.95538133
112,-54.35454161,-34.85870695,-42.49248587,-40.60644798,-23.48952267,-37.46057916,-31.01058658,-36.30411953
113,-54.86486366,-37.80913761,-76.65848403,-40.8884421,NA,-35.98016076,-25.87767203,-35.03864021
114,-53.10627466,-35.71093629,-73.31159751,-40.33568862,NA,-38.24132379,-35.60568237,-33.77241311
115,-39.5393761,-35.07884003,-22.57975918,-46.16694198,NA,-42.36951015,-27.86122851,-35.76046992
116,-41.17565374,-40.87713232,-27.20466211,-46.75929614,NA,-47.43546813,-25.44137908,-36.59492553
117,-42.07219626,-42.08165366,-29.17774792,-46.2603526,NA,-51.03501589,-49.933396,-37.58877739
118,-40.18596679,-38.92366028,-72.50425826,-37.35465366,NA,-44.3916875,-35.51202846,-37.65953662
119,-53.74059697,-38.87897097,-77.92205787,-44.65517514,NA,-50.39876431,-39.13711871,-40.08048271
120,-53.74568516,-40.47208926,-38.7372485,-43.71257833,NA,-51.41111661,-41.62597474,-37.59907463
121,-45.58510782,-44.15604963,-23.8672749,-47.68298285,NA,-47.08433018,-40.30485005,-36.22226253
122,-38.24219254,-43.39253356,-17.44758071,-46.24012638,NA,-51.52041385,-58.87610538,-38.7840029
123,-40.57618939,-40.76331942,-22.28510371,-39.40693669,NA,-42.46857576,-59.23687313,-35.66534116
124,-46.88480605,-35.7399565,-42.47208564,-45.51049634,NA,-40.45076805,-60.78635171,-35.06413121
125,-50.56271326,-37.39042315,-27.44163205,-44.06888164,NA,-41.85832745,-56.96037344,-35.90000556
126,-39.04123758,-37.221747,-68.14589737,-47.52684483,NA,-44.88131436,-50.21879137,-37.28299816
127,-53.65759584,-38.22363037,-77.15282029,-49.215747,NA,-44.69620208,-36.72279518,-35.47358516
128,-36.86009003,-42.06933484,-41.999165,-43.76325283,NA,-38.01627,-40.29037239,-41.87464476
129,-47.94904264,-39.27013023,-24.84875361,-42.75695693,NA,-36.47664859,-35.97692,-40.33740228
130,-41.43143918,-42.80509232,-22.50646966,-38.75383678,NA,-49.65451239,-39.68182947,-36.517368
131,-40.16021142,-42.57719218,-70.02242366,-42.65958883,NA,-39.61701447,-59.94551479,-39.55095895
132,-40.68795671,-42.66201711,-75.46702908,-48.20758657,NA,-36.52744484,-60.62372074,-35.96765142
133,-44.8996351,-37.27671141,-18.87228871,-39.5868822,NA,-36.12562203,-47.86162454,-36.47252962
134,-39.58058939,-38.38597334,-22.28696413,-39.1087181,NA,-36.15074095,-47.43730763,-36.47754982
135,-40.89278116,-40.59786397,-66.77064479,-40.05309474,NA,-33.45944808,-60.09209332,-38.28356437
136,-38.41470328,-36.03928987,-76.51996871,-39.43541459,NA,-36.14389967,-50.92097449,-40.09088431
137,-49.15022203,-39.70310179,-50.33995442,-36.14123333,NA,-40.54677066,-30.14619318,-41.50606721
138,-39.21584955,-41.43067911,-72.53087458,-34.16025876,NA,-47.94420626,-33.42430837,-41.92414445
139,-38.03506147,-37.61731611,-79.00968338,-34.29447012,NA,-34.68376316,-32.663658,-39.39471384
140,-44.64431979,-37.3644249,-27.45398121,-33.52945357,NA,-34.78509836,-35.04678962,-35.94844585
141,-54.51005797,-39.04528382,-31.29417516,-32.23003355,NA,-41.86969442,-53.85472995,-39.25807889
142,-40.93570105,-39.65488155,-22.13429585,-34.02805029,NA,-50.02910995,-54.39825155,-41.13259287
143,-44.38021572,-40.40384636,-53.17061545,-32.52905881,NA,-42.87407544,-60.27352974,-38.65862179
144,-39.433788,-41.02049655,-77.27946563,-29.90699202,NA,-39.70984953,-40.59193047,-35.35833197
145,-47.341233,-40.89819224,-43.42084432,-30.37477944,NA,-39.16464945,-40.50455105,-36.04852445
146,-40.70636011,-41.51809716,-19.83681221,-30.44671848,NA,-51.23226332,-36.85725421,-40.97144574
147,-50.65928144,-45.87174572,-20.78974071,-29.24024548,NA,-51.44128403,-45.45136082,-40.59743418
148,-38.05671529,-37.86808005,-24.55602068,-28.99284671,NA,-49.24624113,-60.44358532,-37.85114034
149,-39.24967787,-45.41645045,-26.1265339,-30.38811338,NA,-50.92128061,-60.30988784,-37.63020434
150,-38.64622536,-37.27293495,-67.43906155,-29.469169,NA,-44.33122176,-46.62845923,-39.15006831
151,-38.391431,-40.85959713,-56.84607226,-28.35278105,NA,-49.32830472,-44.89625784,-35.82933171
152,-42.47863145,-45.53518755,-27.29216055,-25.87813664,NA,-36.77886321,-34.41577692,-34.65707447
153,-54.12517842,-49.56162647,-20.00284367,-26.60461988,NA,-46.8917475,-33.368547,-37.06788042
154,-44.75050621,-46.3416291,-28.01963755,-27.33396193,NA,-35.87354736,-33.8170639,-35.08204262
155,-38.55349837,-37.49319482,-22.67864258,-27.22649407,NA,-47.05332442,-37.92184103,-40.70175913
156,-54.07996737,-37.56808132,-18.29738967,-26.56959607,NA,-47.86780066,-38.03945605,-38.67166066
157,-53.71929908,-41.52054567,-31.41745134,-27.12736412,NA,-40.77324729,-48.97877303,-38.33022879
158,-54.48595742,-38.88266629,-38.80234326,-26.65163921,NA,-49.14610174,-60.74123126,-42.00910484
159,-51.21406187,-38.11232505,NA,-26.02001648,NA,-50.85468708,-58.98903845,-40.54540089
160,-50.80937908,-39.55108803,NA,-25.62591483,NA,-49.20333797,-27.97010887,-32.70053629
161,-47.87509036,-41.71421964,NA,-23.58839148,NA,-45.35483623,-43.27031331,-36.88522008
162,-52.03071992,-43.40997255,NA,-21.57141729,NA,-52.74916763,-37.76896261,-37.31803782
163,-54.57093068,-39.3880135,NA,-23.41087873,NA,-33.11564992,-41.776844,-36.16573845
164,-44.62336921,-37.13400453,NA,-22.28307183,NA,-32.10924516,-60.74624455,-35.59934547
165,-43.71516149,-40.12264859,NA,-18.62849112,NA,-33.78740067,-60.30457064,-38.52693623
166,-53.03089437,-39.31202824,NA,-18.24780654,NA,-33.64239826,-31.22306584,-37.88904511
167,-41.12315889,-39.88972074,NA,-17.35999376,NA,-45.15940447,-29.85453711,-40.754272
168,-48.00446805,-39.76071567,NA,-18.6800995,NA,-42.75728372,-26.89301315,-40.27454851
169,-38.38928724,-43.31417071,NA,-24.08810573,NA,-50.54107516,-32.73621561,-42.13425297
170,-44.56429642,-37.39579274,NA,-34.74689959,NA,-45.99877437,-31.01555308,-45.92980826
171,-46.91222911,-41.51497703,NA,NA,NA,-34.43416603,-41.06564084,-36.53480568
172,-43.79677938,-42.92358626,NA,NA,NA,-36.01636654,-43.71842931,-37.4880089
173,-53.876715,-39.42220597,NA,NA,NA,-42.41377482,-36.73279789,-34.04236384
174,-45.81032763,-40.37989826,NA,NA,NA,-32.21544895,-30.14618974,-39.79995711
175,-39.03177623,-43.01115718,NA,NA,NA,-35.68960274,-22.66500226,-37.30497303
176,-39.40827582,-45.22663092,NA,NA,NA,-42.3874255,-33.18941844,-40.56213755
177,-40.37489442,-46.75802326,NA,NA,NA,-50.78063563,NA,-38.47262003
178,-44.16308524,-50.57385963,NA,NA,NA,-45.60467645,NA,-35.34621592
179,-40.97402523,-48.48732718,NA,NA,NA,-31.78829972,NA,-42.80066951
180,-40.09237161,-23.78713197,NA,NA,NA,-39.42024305,NA,-36.51136287
181,-51.91252034,-25.84430095,NA,NA,NA,-42.44863037,NA,-35.91452187
182,-54.52618105,-23.62991736,NA,NA,NA,-49.62931605,NA,-38.47345559
183,-54.32146779,-23.69767582,NA,NA,NA,-50.13869769,NA,-42.76171392
184,-50.50714918,-27.85071139,NA,NA,NA,-71.78475626,NA,-42.41286505
185,-53.98438842,-31.92669811,NA,NA,NA,NA,NA,-41.05647832
186,-54.33381003,-33.06252118,NA,NA,NA,NA,NA,-40.41942185
187,-45.49672461,-29.48275255,NA,NA,NA,NA,NA,-44.82697513
188,-53.96946824,-45.31763954,NA,NA,NA,NA,NA,NA
189,-54.06492369,NA,NA,NA,NA,NA,NA,NA
190,-47.53204289,NA,NA,NA,NA,NA,NA,NA
191,-41.46471789,NA,NA,NA,NA,NA,NA,NA
192,-49.76665761,NA,NA,NA,NA,NA,NA,NA
193,-50.63801395,NA,NA,NA,NA,NA,NA,NA
194,-52.53450603,NA,NA,NA,NA,NA,NA,NA
195,-51.72503818,NA,NA,NA,NA,NA,NA,NA
196,-50.7491885,NA,NA,NA,NA,NA,NA,NA
197,-44.95123887,NA,NA,NA,NA,NA,NA,NA
198,-37.75465479,NA,NA,NA,NA,NA,NA,NA
199,-37.50157042,NA,NA,NA,NA,NA,NA,NA
200,-53.66599056,NA,NA,NA,NA,NA,NA,NA
201,-49.39547934,NA,NA,NA,NA,NA,NA,NA
202,-37.61989971,NA,NA,NA,NA,NA,NA,NA
203,-41.23490082,NA,NA,NA,NA,NA,NA,NA
204,-52.65168379,NA,NA,NA,NA,NA,NA,NA
205,-46.723472,NA,NA,NA,NA,NA,NA,NA
206,-53.43377189,NA,NA,NA,NA,NA,NA,NA
207,-53.50571759,NA,NA,NA,NA,NA,NA,NA
208,-55.06059958,NA,NA,NA,NA,NA,NA,NA
209,-54.80318713,NA,NA,NA,NA,NA,NA,NA
210,-38.72470087,NA,NA,NA,NA,NA,NA,NA
211,-53.60299426,NA,NA,NA,NA,NA,NA,NA
212,-47.73562371,NA,NA,NA,NA,NA,NA,NA
213,-43.51798774,NA,NA,NA,NA,NA,NA,NA
214,-54.56761659,NA,NA,NA,NA,NA,NA,NA
215,-45.34986037,NA,NA,NA,NA,NA,NA,NA
216,-47.96447258,NA,NA,NA,NA,NA,NA,NA
217,-44.07437837,NA,NA,NA,NA,NA,NA,NA
218,-48.32813331,NA,NA,NA,NA,NA,NA,NA
219,-54.39019845,NA,NA,NA,NA,NA,NA,NA
220,-50.17447358,NA,NA,NA,NA,NA,NA,NA
221,-47.64239315,NA,NA,NA,NA,NA,NA,NA
222,-54.29137108,NA,NA,NA,NA,NA,NA,NA
223,-53.78411939,NA,NA,NA,NA,NA,NA,NA
224,-47.60911137,NA,NA,NA,NA,NA,NA,NA
225,-51.50839531,NA,NA,NA,NA,NA,NA,NA
226,-54.23319624,NA,NA,NA,NA,NA,NA,NA
227,-55.31226755,NA,NA,NA,NA,NA,NA,NA
228,-50.88273503,NA,NA,NA,NA,NA,NA,NA
229,-39.82745067,NA,NA,NA,NA,NA,NA,NA
230,-54.1571535,NA,NA,NA,NA,NA,NA,NA
231,-47.135788,NA,NA,NA,NA,NA,NA,NA
232,-54.26298464,NA,NA,NA,NA,NA,NA,NA
233,-55.36877755,NA,NA,NA,NA,NA,NA,NA
234,-64.77072432,NA,NA,NA,NA,NA,NA,NA