ids,Scott,Lester,Hiddleston,Hawke,Glover,Essiedu,Cumberbatch,Branagh
1,-45.42014174,-35.09798467,-37.56592703,-33.1158505,-29.38750548,-42.45678668,-34.52624697,-70.20374046
2,-45.42014174,-35.09798467,-37.56592703,-33.1158505,-19.07570324,-38.10843458,-34.52624697,-70.20374046
3,-50.55734224,-38.49834171,-37.56592703,-33.1158505,-19.07570324,-40.87613461,-34.52624697,-66.90199737
4,-46.15761979,-36.37355792,-50.81639021,-35.5682249,-19.07570324,-40.87613461,-34.52624697,-68.86191082
5,-46.15761979,-36.37355792,-50.81639021,-35.5682249,-19.07570324,-40.92524862,-50.58385766,-68.86191082
6,-49.61213061,-41.87794028,-50.81639021,-35.5682249,-25.23867276,-40.92524862,-50.58385766,-68.38006695
7,-47.81410608,-41.45150108,-74.86161536,-39.5606469,-25.23867276,-43.70828258,-54.24270995,-68.16761568
8,-47.81410608,-41.72915311,-26.8206855,-39.5606469,-18.50604819,-40.32823859,-41.59849132,-70.96109195
9,-47.81410608,-41.72915311,-26.8206855,-40.42968888,-18.50604819,-40.32823859,-41.59849132,-70.96109195
10,-47.81410608,-41.72915311,-26.8206855,-40.42968888,-18.50604819,-42.18216082,-41.59849132,-70.96109195